78,29/09/2025,aristo-zirkel-2-gelenke,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
78,29/09/2025,aristo-zirkel-2-gelenke,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
79,29/09/2025,sax-haushaltsschere-21-5-cm,"SAX Haushaltsschere 21,5 cm",Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Scissors & Trimmers > Office Scissors,Mapped via google_taxonomy_map,info,4
80,29/09/2025,bastelschere-lh-16-cm-sb1,Bastelschere LH 16 cm SB1,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Scissors & Trimmers > Office Scissors,Mapped via google_taxonomy_map,info,4
81,29/09/2025,sax-bastelschere-13-5-cm-rund,"SAX Bastelschere 13,5 cm rund",Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Scissors & Trimmers > Office Scissors,Mapped via google_taxonomy_map,info,4
82,29/09/2025,lineal-plexi-15-cm-sb-1,Lineal Plexi 15 cm SB/1,Google Shopping / Google Product Category,,Hardware > Tools > Measuring Tools & Sensors > Rulers,Mapped via google_taxonomy_map,info,4
83,29/09/2025,jolly-buntstift-blechetui-48er,Jolly Buntstift Blechetui 48er,Google Shopping / Google Product Category,,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Drawing & Painting Supplies > Art Pencils,Mapped via google_taxonomy_map,info,4
84,29/09/2025,jolly-buntstift-blechetui-48er,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
84,29/09/2025,jolly-buntstift-blechetui-48er,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
86,29/09/2025,stabilo-10er-standardfarben,Stabilo 10er Standardfarben,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Writing & Drawing Instruments > Markers & Highlighters > Markers,Mapped via google_taxonomy_map,info,4
87,29/09/2025,olkreide-jolly-extra-wf,Ölkreide Jolly Extra WF,Google Shopping / Google Product Category,,Hardware > Building Materials > Painting & Wall Coverings > Paint,Mapped via google_taxonomy_map,info,4
89,29/09/2025,farbkasten-jolly-blech-12er,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
89,29/09/2025,farbkasten-jolly-blech-12er,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
90,29/09/2025,fs-jolly-superstar-duo-12,FS Jolly Superstar Duo/12,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Writing & Drawing Instruments > Pens & Pencils > Pens > Felt-Tip Pens,Mapped via google_taxonomy_map,info,4
91,29/09/2025,fs-jolly-superstar-duo-12,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
91,29/09/2025,fs-jolly-superstar-duo-12,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
93,29/09/2025,jolly-buntstift-blechetui-12er,Jolly Buntstift Blechetui 12er,Google Shopping / Google Product Category,,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Drawing & Painting Supplies > Art Pencils,Mapped via google_taxonomy_map,info,4
94,29/09/2025,jolly-buntstift-blechetui-12er,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
94,29/09/2025,jolly-buntstift-blechetui-12er,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
95,29/09/2025,heftbox-a4-4-cm,"Heftbox A4, 4 cm",Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Filing & Organization > Pen & Pencil Cases,Mapped via google_taxonomy_map,info,4
96,29/09/2025,heftbox-a4-4-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
96,29/09/2025,heftbox-a4-4-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
97,29/09/2025,heftbox-a4-4-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
97,29/09/2025,heftbox-a4-4-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
98,29/09/2025,heftbox-a4-4-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
98,29/09/2025,heftbox-a4-4-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
100,29/09/2025,schnellh-plastik-a4,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
100,29/09/2025,schnellh-plastik-a4,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
101,29/09/2025,schnellh-plastik-a4,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
101,29/09/2025,schnellh-plastik-a4,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
102,29/09/2025,schnellh-plastik-a4,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
102,29/09/2025,schnellh-plastik-a4,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
103,29/09/2025,schnellh-plastik-a4,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
103,29/09/2025,schnellh-plastik-a4,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
108,29/09/2025,format-vokabelheft,Format Vokabelheft,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Filing & Organization > Binding Supplies > Binder Accessories > Sheet Protectors,Mapped via google_taxonomy_map,info,4
